Nama Pelanggan,Produk,Ulasan,Rating,Unnamed: 0
Putri,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","produk bagus, bahan nyaman dan dingin. cuma sayang size untuk saya sedang kosong waktu order. tolong segera lengkapi ya biar bisa order ulang",4,157.0
Stella,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","nyaman banget di pakenya. langganan HanaFashion dari tahun 2019, selalu kalap kalo belanja disini wkwkw sukses selalu yaa HanaFashion kesayangan ❤️",5,158.0
C***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Pas banget di badan 158/46, surprisingly bahannya bagus poll",5,159.0
Chalfina,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bahannya bagus bangetttttttt pengiriman cepat .,5,160.0
yongky,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",enak bahan lumayan,5,161.0
Mercy,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",harga dah paliiiiing paling murah dah...tapi kualitas ga abal abal... udah berkali kaliii beli selalu baguuuus,5,162.0
ana,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",barang sesuai bahan bagus,5,163.0
H***y,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Makasih...paket sdh sampai, bahannya bagus, ukuran pas👍🙏",5,164.0
P***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Hebat,5,165.0
Tjiong,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bagus dan respon cepat. cewe saya suka sama model n bahannya hehe,5,166.0
Susy,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","✔️yg size L, lebar baju 1 sisi dari ketiak kiri ke ketiak kanan +- 39 cm ✔️pnjg baju +- 35 cm ✔️muat dan udh pas2an dipakai oleh saya dgn berat badan 48kg tinggi 160cm ✔️...",5,167.0
M***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",real pic....baguuus bangeeeett...next mau bli yg putih...makasiih gaan,5,168.0
beautyholicmall,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",nyaman dipakai,5,169.0
R***y,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",model dan ukuran ga pernah mengecewakan,5,170.0
M***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bahannya adem puool👍🏻,5,171.0
P***u,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Bahan tipis sesuai harga :),2,172.0
Yoga,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Mantap, barang bagus sesuai deskripsi",5,173.0
e***h,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Les tepi kain bagian kiri dan kanannya keriting-keriting. Apalagi yang di dekat ketiak, kecewa abis. Gak tau apakah cuttingnya yg salah atau bekas barang return.",1,174.0
e***h,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Ukuran cropnya agak aneh ya. Terpaksa harus dimodifikasi ulang karena kain di lingkaran bagian ketiaknya kebesaran (longgar) sedangkan bagian dada dan badan pas. 

Kainny...",1,175.0
T***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Kalo dagang itu yg jujur ya kk. Jangan bisanya ngadain flashsale, harga dimurah2 kan untuk menarik pembeli. Ehhh ujung2 nya orderan di cuekin tidak dikirim. Ini namanya p...",1,176.0
Tina,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Penjual yg tdk profesional, tidak bertanggungjawab. Penipu. Adakan flash sale dengan harga miring tapi ternyata pesanan tidak dikirim2. Barang tidak pernah dikirim, nomor...",1,177.0
M***s,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",pas,5,178.0
Vallyne,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Mantap,5,179.0
Diamond,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","sangat pendek, tdk spt gambar",3,180.0
M***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","gakpernah nyesel deh pokoknya, 
suka bgt sama bahannya, adem parah",5,182.0
n***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","pengiriman sangat cepat, bahan bgs, di pakai jg keren. size S, bb 40",5,183.0
M,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","toko sp4m puluhan kali ke pembeli, kirim lama,barang kecil.dikasih bintang yg wajar malah maksa harus bintang 4 atau 5.tiap hari sp4m ke 4kun saya dan wa.sekalian saya ub...",1,184.0
W***y,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Kain tipiss,4,185.0
V***i,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Kualitas okee, kain tebel, adem, ngga nerawang. Langganan banget pokoke ya di Hana Fashion. Ngga usa ragu lagi. Size crop M, celana L. Tb/bb 159,53kg",5,186.0
Agustien,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Bahan sedang, jahitan rapi. Tank top cukup di BB 72 kg",5,187.0
Tambunan,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Bagus dan sesuai harapan,5,188.0
Siti,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","bahan sangat bagus, tapi aku minta warna hitam di kasih nya orange, gak apa2 lah sama aja bagus juga",4,189.0
Anggun,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","bahannya adem, halus, tidak menerawang. worth it bgt sih ✨🫶🏻",5,190.0
S***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","baguss, bahannya enak, tp yg putih agak nerawang dikit",5,191.0
Tiffany,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","bahannya tipis jd adem tp ga nerawang, bagus. suak banget makasii",5,192.0
R***y,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","pembelian kedua hehe, puas soalnya sama yg pertama, semoga ada rezeki lebih lagi ya biar bisa beli warna lainnya.se bagus itu koleksi nya hana fashion, dengan harga murah...",5,193.0
Wulandari,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","barang sesuai dengan pesanan, next order lagi",5,194.0
V***A,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bahan adem....cocok u yg ingin keliatan perut,5,195.0
nadaa,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","bagusss bangett aaaa, trs adminnya ramah sekali dan fast respon 😍😍🥰🥰",5,196.0
Monica,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",pas banget di badanku yg xs,5,197.0
S***i,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",q suka banget,5,199.0
A***h,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Bahan bagus, warnanya juga cmn di ekspedisi sicepat nya terbilang lambat jd kurang di ekspedisinya aja bukan penjualnya",4,201.0
N***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",It’s just ok. Ukuran L pas d sy bra size 34B bb 48 not too tight.,5,202.0
Indah,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",coba aja tanya kesel,1,203.0
A***m,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","⊙ Kain tidak terawang, tapi katunnya bukan premium (sesuai harga). Tapi untuk pakaian tidur sudah nyaman.
⊙ Untuk (LD 80.5 cm, LP 71 cm, PB 36 cm,  PL: 51.5 cm, TB: 151 c...",5,204.0
j***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","bahannya enak bgt tipis jadi gabikin gerah, sebelum beli yg item ini sempet beli yg warna putih tp sayangnya jadi nerawang gituu, tapi sesuai sm harganya sih yaa. jadi sa...",5,205.0
o***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Bagusss, bb ku 47 pake M terlalu ketat",5,206.0
i***k,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",dapet harga 9k🥰🤩,5,207.0
w***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bagus + cakep banget mau nangis 😭,5,208.0
T***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","bahan ok,pas di BB aku 65kg",5,209.0
Tsasha,"Hanafe Crop Top Hana Fashion - Light Grey, M",Duh bagusnyaa… ❤️,5,210.0
Lenny,"Hanafe Crop Top Hana Fashion - Light Grey, M","Udah langganan beli di hana fashion,, bagus bahan nya adem dan tidak murahan,, klo bisa banyakin disc nya lagi",5,211.0
Wisnu,"Hanafe Crop Top Hana Fashion - Light Grey, M",ga bagus jadi gombal,1,212.0
c***o,"Hanafe Crop Top Hana Fashion - Light Grey, M","pengiriman cepat, produk sesuai harga. bagus untuk baju santai atau keluar",5,213.0
sri,"Hanafe Crop Top Hana Fashion - Light Grey, M","kurang rapi jaitannya, sesuai sama harga si
tp beda kalo di poto sama real nya",4,214.0
A***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",Sesuai harga,4,215.0
Wanda,"Hanafe Crop Top Hana Fashion - Light Grey, M","Packing rapi, kali ini cepat prosesnya. bahan baju adem bgt, tp gak tipis, pdhl sy beli warna putih, gak nerawang, mantap sih, jahitan rapi, emang cari yg besar makanya b...",5,216.0
G***o,"Hanafe Crop Top Hana Fashion - Light Grey, M",sesuai dengan harganya,5,217.0
Veronika,"Hanafe Crop Top Hana Fashion - Light Grey, M",ukuran sesuai deskripsi.bahan okee adem. harga murah.model update,5,218.0
A***i,"Hanafe Crop Top Hana Fashion - Light Grey, M",kata pacarku bahannya enak tapi saya gak tau soalnya gak ikut nyobain .,5,219.0
Mama,"Hanafe Crop Top Hana Fashion - Light Grey, M","Bahan strech banget, suka sih. tipis kainnya tp bagus sih aku pake buat wo di rumah.
beratku 55, nyoba beli sz S, enak dipakenya.",5,222.0
Jennifer,"Hanafe Crop Top Hana Fashion - Light Grey, M",TB 168cm BB 48kg size M,5,223.0
fajar,"Hanafe Crop Top Hana Fashion - Light Grey, M","bahan halus dan fit badan, mantab",5,224.0
munie,"Hanafe Crop Top Hana Fashion - Light Grey, M",bahannya enak di badan.. pembelian ke 2 ..,5,225.0
Chandra,"Hanafe Crop Top Hana Fashion - Light Grey, M",oke,4,226.0
M***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","ukuran pas, ini dah baju ke 4 yg kubeli tapi kainnya beda sama 3 lainnya yg ini agak tipis dan keliatan melar banget",5,227.0
Maurice,"Hanafe Crop Top Hana Fashion - Light Grey, M",Barang sudah di terima dengan baik,5,228.0
A***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",Terima kasih barang bagus,5,229.0
d***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","bagus, kain agak tipis dan ngepress di badan tapi oke banget👍",5,230.0
V***y,"Hanafe Crop Top Hana Fashion - Light Grey, M","Pesqnan sesuai, lumayan buat baju rumah/ke pasar, cut kurang rapi tp ya sesuai harga kok..",5,231.0
A***e,"Hanafe Crop Top Hana Fashion - Light Grey, M","ukuran pas, tb 160 bb 57 pakai XL, dipakai bagus. kelihatan langsing. cuma bahannya kurang halus.",5,232.0
H***l,"Hanafe Crop Top Hana Fashion - Light Grey, M",pass,5,233.0
SABRINA,"Hanafe Crop Top Hana Fashion - Light Grey, M",bahan ringan & sukses kurir & tokped 🙏😇👍,5,234.0
K***i,"Hanafe Crop Top Hana Fashion - Light Grey, M",size M nya kecil .. bnget,5,235.0
Jessie,"Hanafe Crop Top Hana Fashion - Light Grey, M",Respond seller ok,4,236.0
Antonius,"Hanafe Crop Top Hana Fashion - Light Grey, M","Terima kasih Kak, sudah sampai barangnya sesuai dengan pesanan. Sukses selalu Kak.",5,237.0
Reza,"Hanafe Crop Top Hana Fashion - Light Grey, M","bahan nyaman, potongan pas. tapi agak terlalu tipis",4,238.0
Rika,"Hanafe Crop Top Hana Fashion - Light Grey, M",sesuai pesanan bagus bgt bajux,5,239.0
Indri,"Hanafe Crop Top Hana Fashion - Light Grey, M","sesuai dgn deskripsi, jaitannya rapi, pas di pakai sesuai bentuk tubuh. tks 🙏🏻",5,240.0
M***A,"Hanafe Crop Top Hana Fashion - Light Grey, M",suka banget. bahan super adem. pas buat inner .thanks kak,5,241.0
Vani,"Hanafe Crop Top Hana Fashion - Light Grey, M",sesuai dengan harga. kekecilan sih.,5,242.0
b***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",Pengiriman cepat dan ukurannya aku kira kekecilan karna s ternyata pas banget❤️,5,243.0
I***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","Sesuai sm gmbr, gk sempit aga longgar",5,244.0
Monalisa,"Hanafe Crop Top Hana Fashion - Light Grey, M",Lembut bahannya,5,245.0
K***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","Kaos nya lumayan dipake baguss
Seller fast response 
Makasih ya",5,246.0
Amanda,"Hanafe Crop Top Hana Fashion - Light Grey, M",sesuai,5,247.0
Sarah,"Hanafe Crop Top Hana Fashion - Light Grey, M",ga pernah kecewa beli disini,5,248.0
R***i,"Hanafe Crop Top Hana Fashion - Light Grey, M","Pengiriman cepat, kualitas sesuai harga",4,249.0
R***u,"Hanafe Crop Top Hana Fashion - Light Grey, M",Bagus banget and nyaman di pake,5,250.0
salmaa,"Hanafe Crop Top Hana Fashion - Light Grey, M",Enakkk bgtttt apalagi dipke buat olahragaa,5,251.0
Wilda,"Hanafe Crop Top Hana Fashion - Light Grey, M",bagussss,5,252.0
park,"Hanafe Crop Top Hana Fashion - Light Grey, M",putiny sedikit biru,5,253.0
Y***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","ini baju kalo buat dirumah aja enak bgt sih, adem dan nyaman bahannya. kalo untuk dipake keluar sih kayaknya kureng ya, bahannya cukup tipis soalnya. perbanyak variasi wa...",5,254.0
Alvin,"Hanafe Crop Top Hana Fashion - Light Grey, M",barang bagus dan sesuai,5,255.0
Putri,"Hanafe Crop Top Hana Fashion - Light Grey, M",next size L soalny yg M kependekan,5,256.0
A***A,"Hanafe Crop Top Hana Fashion - Light Grey, M","Barang pesenan udah sampé dengan aman sesuai orderan.. Suka... 🌹🌹❤️ Ukurannya S & M, tapi tetep pas koq di badan..👍🏼👍🏼",5,257.0
E***i,"Hanafe Crop Top Hana Fashion - Light Grey, M",Kereeen,5,258.0
V***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","pas banget, unfinished tp tetep keliatan bagus. bb 45kg tb 157cm tp mending ikutin LD deh, gabisa patokan sama bbtb soalnya. sayang tipis bgt huhu, semoga awet",5,259.0
g***e,"Hanafe Crop Top Hana Fashion - Light Grey, M",bagus,4,260.0
D***n,"Hanafe Crop Top Hana Fashion - Light Grey, M","bagus,puas, udh pny 4 warna...
kalo ada warna lainnya lg, mau deh

eh tp waktu beli 19000 skrg harganya 29000 hehe",5,261.0
Anny,"Hanafe Crop Top Hana Fashion - Light Grey, M","okee baju nya cantik lilac pass di badan,, klo yg tdk mau terlalu crop bisa pke xxl 
bb 53 tb 158",5,262.0
Lin,"Hanafe Crop Top Hana Fashion - Light Grey, M",Bagus tapi kegedean aku salah pilih size harusnya L,5,263.0
Ellen,"Hanafe Crop Top Hana Fashion - Light Grey, M",Respon penjual ok ok,4,264.0
Junida,"Hanafe Crop Top Hana Fashion - Light Grey, M","ga sesuai dengan deskripsi, bahan nya tipis",3,265.0
azam,"Hanafe Crop Top Hana Fashion - Light Grey, M","sudah order yg ke 2 kalinya,kaosnya enak pakai dan bahan bagus,ukuran sesuai ,kurirnya juga ramah,makasih ya seller semoga amanah dan lancar selalu...👍🤲",5,266.0
Eveline,"Hanafe Crop Top Hana Fashion - Light Grey, M",adem bahannya.,5,267.0
a***m,"Hanafe Crop Top Hana Fashion - Light Grey, M","kaos bahan ok,barang real pict dan ukuran sesuai warnanya cantik...🙏",5,268.0
D***n,"Hanafe Crop Top Hana Fashion - Light Grey, M","baguss...jd mau beli lagi
ga nyangka bgtt harga segitu tp bahannya enak bgt buat dirumah/olahraga",5,269.0
Y***i,"Hanafe Crop Top Hana Fashion - Light Grey, M",barang sesuai pic,5,270.0
D***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",Ukuran L nya lebih kecil.,4,271.0
A***f,"Hanafe Crop Top Hana Fashion - Light Grey, M","bahan nya bagus banget lembut harga terjangkau,respon cepat dan pelayanan tokonya sangat bagus, makasih gan",5,272.0
N***h,"Hanafe Crop Top Hana Fashion - Light Grey, M",bagus banget bahan dan jahitannya rapih.thanks,5,273.0
s***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",Ukuran nya kaya pake ukuran M wkwk.tapi bagus sukaaaa😍😍,5,274.0
Nurhadi,"Hanafe Crop Top Hana Fashion - Light Grey, M","Pengiriman cepat, barang oke, recomended seller",5,275.0
B***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","admin seller responsif & barang sampai dgn aman. crop T nya sesuai sama ukuran di deskripsi, kualitas bahannya juga cukup oke kok.",5,276.0
F***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",pesan hitam datangnya putih.,4,277.0
Tambunan,"Hanafe Crop Top Hana Fashion - Light Grey, M",Bagus dan sesuai harapanku,5,279.0
Samha,"Hanafe Crop Top Hana Fashion - Light Grey, M",bajunya suka bangett murah lagi,5,280.0
Keiko,"Hanafe Crop Top Hana Fashion - Light Grey, M","baguss,pas",5,281.0
A***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","product sesuai , kualitas lumayan ,
bgn bwhnya agak keriting2 sih , tp msh nyaman di
pake , tks 😊🙏",5,283.0
U***i,"Hanafe Crop Top Hana Fashion - Light Grey, M","maaci.
not bad",4,284.0
N***i,"Hanafe Crop Top Hana Fashion - Light Grey, M",sagat murah untuk harga segini. bahan nya adem enak buat olahraga.,5,285.0
A***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",lumayan bahanya tipis tapi adem kalau yg warna item gapapa ga transparan kalo yg warna lain sih gatau ukuran L di sy agak kebesaran BB 49 TB 155+- bagus dengan harga segi...,4,286.0
N***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",bahannya agak tipis but it’s okay bisa dipakai dirumah,5,287.0
M***n,"Hanafe Crop Top Hana Fashion - Light Grey, M",Trendy style & keren,5,288.0
a***u,"Hanafe Crop Top Hana Fashion - Light Grey, M","pengiriman cepat, respon penjual sangat baik",5,289.0
mngjay,"Hanafe Crop Top Hana Fashion - Light Grey, M","bahan nya bagus banget😻 ,cuman yng pkek orang nya agak tinggi jadi pas dia angkt tangan bajunya ikut naik bnget ,jadi klo dia pkek bajunya jadi pndek bnget iya tau ini k...",5,290.0
A***n,"Hanafe Crop Top Hana Fashion - Light Grey, M","beli crop top di sini buat hadiah pacar saya dan pacar saya suka banget
Terima Kasih",5,291.0
Y***i,"Hanafe Crop Top Hana Fashion - Light Grey, M","mantul, thanks ga",5,292.0
a***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","Bagus kaosnya, bahannya lembut",5,293.0
herwandi,"Hanafe Crop Top Hana Fashion - Light Grey, M",bahan adem dan elastis nyaman banget untuk dipake santai.,5,294.0
Meygi,"Hanafe Crop Top Hana Fashion - Light Grey, M","bagus kok,jahitannya rapih juga",5,295.0
Indra,"Hanafe Crop Top Hana Fashion - Light Grey, M","udah dikasih catatan kirim hitam sama ungu, dikirim ungu dua-duanya🤦",5,296.0
Gracia,"Hanafe Crop Top Hana Fashion - Light Grey, M","bahan nya tipis adem, trs enak dipake sama hw jeanss",5,297.0
A***o,"Hanafe Crop Top Hana Fashion - Light Grey, M","bagus, lembut, adem.",5,298.0
Gracia,"Hanafe Crop Top Hana Fashion - Light Grey, M","untuk ke 3x nya gue beli baju di toko ini dan emang bnr"" kualitas nya okey banget & ga pernah mengecewakan pkok nya top banget ini toko nya",5,299.0
N***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",lucuuu bangett nyampe. nya cepet juga dan size sesuai dikirimmnya,5,300.0
Rizki,"Hanafe Crop Top Hana Fashion - Light Grey, M",.,4,301.0
R***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","pdhl bajunya bagus tp jahitan bagian samping ada yg lepas, jd kayak bolong. tolong kualitas jahitannya diperbaiki",2,303.0
Anastasia,"Hanafe Crop Top Hana Fashion - Light Grey, M",bagus .. bahan kausnya halus dan melar mengikuti badan.. sesuai 👍,5,304.0
Eveline,"Hanafe Crop Top Hana Fashion - Light Grey, M",bahan adem. bagus jatuh di badan,5,305.0
qalbi,"Hanafe Crop Top Hana Fashion - Light Grey, M",keren,5,306.0
m,"Hanafe Crop Top Hana Fashion - Light Grey, M","barang sesuai, pengiriman sangat lambat",4,307.0
H***h,"Hanafe Crop Top Hana Fashion - Light Grey, M","bahan enak, pengiriman cepat, will reorder.",5,308.0
cintara,"Hanafe Crop Top Hana Fashion - Light Grey, M",lucuu xixi bb ku 48 kirain bakal kekecilan😣 Ternyata pass🥰,5,309.0
Bambang,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Ukurannya pas..nyaman dipakai, jahitan rapi.. bahannya bagus..sip 👍",5,310.0
M***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","sesuai deskripsi, bahan nya lembut jd enak dipake nya, warna nya cantik banget, kakak seller ramah 
& baik komunikasi, recomended",5,311.0
M***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Seller fast response. Ukuran pas sesuai deskripsi.,5,312.0
septiani,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",sesuai dan selalu bagus,5,313.0
A***s,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",👍,5,314.0
Hari,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",pesanan sdh di terima..mksh,5,315.0
Yuni,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Sdh pembelian yg ke berapa kali nya
Bahannya enak
Size sesuai
Hanya tolong restock utk warna2 yg habis donk dan banyakin stock nya. Thank you",5,316.0
B***g,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Keren ..enak dipakainya..sip 👍 ini pembelian ke 2,5,317.0
Lilys,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",lumayan,4,318.0
Yuni,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Barang sdh diterima dengan aman dan sesuai.
Thank yoi",5,319.0
C***o,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",👍👍👍,5,320.0
A***r,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bahannya bagus hanya prosesnya perlu di percepat.,5,321.0
B***g,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Istri jadi senang,5,322.0
Jenny,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",mantap. mau order lagi,5,324.0
T***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Bagus,suka banget sm celananya",5,326.0
R***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas bahan bagus 👍. Nyaman dipakai ✨. Warnanya cantik 💚. Model Celananya cantik 😍. Bahan menyerap keringat.,5,328.0
F***r,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bahan adem enak cocok dipakai,5,329.0
Jeanie,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Sesuai ekspektasi,5,330.0
Rudhi,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",pesanan sdh diterima..pengemasan cepat..uk sesuai wrn bgs..pengiriman cpt..makasih,5,331.0
Vera,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","wah haha ternyata kegedean .. karetnya ngga terlalu ketat, agak longgar mmg.. Tapi buat dirumah okelah gpp",5,333.0
D***y,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",👍🏻,5,334.0
f***l,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bahan bagus,5,335.0
A***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Packing rapih, joss",5,336.0
Shinta,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","beli 2 , tadinya pilih dark mustard S, tanyakan sblmnya ada tp stlh diorder diinfo ga ada (etalase ga berubah..tetep ada stok.. duh) diminta ganti dusty pink....ya akhirn...",4,338.0
Rita,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","barang oke, sayang proses pengiriman dari penjual agak lama lama.",5,340.0
H***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Talinya fake ya, ngga bisa dipake untuk mengencangkan celana, itu tali tempelan aja. Kualitas yang didapatkan sesuai dengan harganya.",4,342.0
Rockefeller,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Ternyata kl pesan beda warna trus dtulis di note tdk akan direspon.. yg dkirim 1 warna saja. Dan itu tdk dtulis di deskripsi.. Bahan dan finishing lumayan bagus. Hanya ke...,4,343.0
Derry,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",mantappppp,5,344.0
Derry,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",mantapppp,5,345.0
M***d,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","sangat bagus model ini
akan order lagi",5,346.0
Rudhi,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","pesanan sdh diterima. .pengemasan cepat..bhn agk tipis tp ga nerawang..sz ckp..jahitan lmyn rapi..pengiriman cpt
..makasih",5,347.0
W***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","cakep modelnya, jahitan nya rapi, lumayan buat harga segini, ukurannya agak besar untuk BB 62kg, mungkin lebih pas kalau L tapi ngga apa-apa, karet pinggangnya aman,",5,348.0
Yermia,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Bagus sangat pasKualitas bahan bagus 👍. Nyaman dipakai ✨.,5,349.0
Aldhila,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",belanja ke 2x dan tdk pernah mengecewakan..Kualitas bahan bagus 👍. Nyaman dipakai ✨. Ukuran sesuai. Bahannya lembut. Bahannya adem. Tidak menerawang. Jahitannya rapi. Wa...,5,351.0
valentine,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Ukuran sesuai. Jahitannya rapi. Nyaman dipakai ✨. Warnanya cantik 💚.,5,352.0
