,Nama Pelanggan,Produk,Ulasan,Rating
197,Monica,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",pas banget di badanku yg xs,5
199,S***i,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",q suka banget,5
201,A***h,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Bahan bagus, warnanya juga cmn di ekspedisi sicepat nya terbilang lambat jd kurang di ekspedisinya aja bukan penjualnya",4
202,N***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",It’s just ok. Ukuran L pas d sy bra size 34B bb 48 not too tight.,5
203,Indah,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",coba aja tanya kesel,1
204,A***m,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","⊙ Kain tidak terawang, tapi katunnya bukan premium (sesuai harga). Tapi untuk pakaian tidur sudah nyaman.
⊙ Untuk (LD 80.5 cm, LP 71 cm, PB 36 cm,  PL: 51.5 cm, TB: 151 c...",5
205,j***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","bahannya enak bgt tipis jadi gabikin gerah, sebelum beli yg item ini sempet beli yg warna putih tp sayangnya jadi nerawang gituu, tapi sesuai sm harganya sih yaa. jadi sa...",5
206,o***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Bagusss, bb ku 47 pake M terlalu ketat",5
207,i***k,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",dapet harga 9k🥰🤩,5
208,w***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bagus + cakep banget mau nangis 😭,5
209,T***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","bahan ok,pas di BB aku 65kg",5
210,Tsasha,"Hanafe Crop Top Hana Fashion - Light Grey, M",Duh bagusnyaa… ❤️,5
211,Lenny,"Hanafe Crop Top Hana Fashion - Light Grey, M","Udah langganan beli di hana fashion,, bagus bahan nya adem dan tidak murahan,, klo bisa banyakin disc nya lagi",5
212,Wisnu,"Hanafe Crop Top Hana Fashion - Light Grey, M",ga bagus jadi gombal,1
213,c***o,"Hanafe Crop Top Hana Fashion - Light Grey, M","pengiriman cepat, produk sesuai harga. bagus untuk baju santai atau keluar",5
214,sri,"Hanafe Crop Top Hana Fashion - Light Grey, M","kurang rapi jaitannya, sesuai sama harga si
tp beda kalo di poto sama real nya",4
215,A***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",Sesuai harga,4
216,Wanda,"Hanafe Crop Top Hana Fashion - Light Grey, M","Packing rapi, kali ini cepat prosesnya. bahan baju adem bgt, tp gak tipis, pdhl sy beli warna putih, gak nerawang, mantap sih, jahitan rapi, emang cari yg besar makanya b...",5
217,G***o,"Hanafe Crop Top Hana Fashion - Light Grey, M",sesuai dengan harganya,5
218,Veronika,"Hanafe Crop Top Hana Fashion - Light Grey, M",ukuran sesuai deskripsi.bahan okee adem. harga murah.model update,5
219,A***i,"Hanafe Crop Top Hana Fashion - Light Grey, M",kata pacarku bahannya enak tapi saya gak tau soalnya gak ikut nyobain .,5
222,Mama,"Hanafe Crop Top Hana Fashion - Light Grey, M","Bahan strech banget, suka sih. tipis kainnya tp bagus sih aku pake buat wo di rumah.
beratku 55, nyoba beli sz S, enak dipakenya.",5
223,Jennifer,"Hanafe Crop Top Hana Fashion - Light Grey, M",TB 168cm BB 48kg size M,5
224,fajar,"Hanafe Crop Top Hana Fashion - Light Grey, M","bahan halus dan fit badan, mantab",5
225,munie,"Hanafe Crop Top Hana Fashion - Light Grey, M",bahannya enak di badan.. pembelian ke 2 ..,5
226,Chandra,"Hanafe Crop Top Hana Fashion - Light Grey, M",oke,4
227,M***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","ukuran pas, ini dah baju ke 4 yg kubeli tapi kainnya beda sama 3 lainnya yg ini agak tipis dan keliatan melar banget",5
228,Maurice,"Hanafe Crop Top Hana Fashion - Light Grey, M",Barang sudah di terima dengan baik,5
229,A***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",Terima kasih barang bagus,5
230,d***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","bagus, kain agak tipis dan ngepress di badan tapi oke banget👍",5
231,V***y,"Hanafe Crop Top Hana Fashion - Light Grey, M","Pesqnan sesuai, lumayan buat baju rumah/ke pasar, cut kurang rapi tp ya sesuai harga kok..",5
232,A***e,"Hanafe Crop Top Hana Fashion - Light Grey, M","ukuran pas, tb 160 bb 57 pakai XL, dipakai bagus. kelihatan langsing. cuma bahannya kurang halus.",5
233,H***l,"Hanafe Crop Top Hana Fashion - Light Grey, M",pass,5
234,SABRINA,"Hanafe Crop Top Hana Fashion - Light Grey, M",bahan ringan & sukses kurir & tokped 🙏😇👍,5
235,K***i,"Hanafe Crop Top Hana Fashion - Light Grey, M",size M nya kecil .. bnget,5
236,Jessie,"Hanafe Crop Top Hana Fashion - Light Grey, M",Respond seller ok,4
237,Antonius,"Hanafe Crop Top Hana Fashion - Light Grey, M","Terima kasih Kak, sudah sampai barangnya sesuai dengan pesanan. Sukses selalu Kak.",5
238,Reza,"Hanafe Crop Top Hana Fashion - Light Grey, M","bahan nyaman, potongan pas. tapi agak terlalu tipis",4
239,Rika,"Hanafe Crop Top Hana Fashion - Light Grey, M",sesuai pesanan bagus bgt bajux,5
240,Indri,"Hanafe Crop Top Hana Fashion - Light Grey, M","sesuai dgn deskripsi, jaitannya rapi, pas di pakai sesuai bentuk tubuh. tks 🙏🏻",5
241,M***A,"Hanafe Crop Top Hana Fashion - Light Grey, M",suka banget. bahan super adem. pas buat inner .thanks kak,5
242,Vani,"Hanafe Crop Top Hana Fashion - Light Grey, M",sesuai dengan harga. kekecilan sih.,5
243,b***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",Pengiriman cepat dan ukurannya aku kira kekecilan karna s ternyata pas banget❤️,5
244,I***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","Sesuai sm gmbr, gk sempit aga longgar",5
245,Monalisa,"Hanafe Crop Top Hana Fashion - Light Grey, M",Lembut bahannya,5
246,K***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","Kaos nya lumayan dipake baguss
Seller fast response 
Makasih ya",5
247,Amanda,"Hanafe Crop Top Hana Fashion - Light Grey, M",sesuai,5
248,Sarah,"Hanafe Crop Top Hana Fashion - Light Grey, M",ga pernah kecewa beli disini,5
249,R***i,"Hanafe Crop Top Hana Fashion - Light Grey, M","Pengiriman cepat, kualitas sesuai harga",4
250,R***u,"Hanafe Crop Top Hana Fashion - Light Grey, M",Bagus banget and nyaman di pake,5
251,salmaa,"Hanafe Crop Top Hana Fashion - Light Grey, M",Enakkk bgtttt apalagi dipke buat olahragaa,5
252,Wilda,"Hanafe Crop Top Hana Fashion - Light Grey, M",bagussss,5
253,park,"Hanafe Crop Top Hana Fashion - Light Grey, M",putiny sedikit biru,5
254,Y***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","ini baju kalo buat dirumah aja enak bgt sih, adem dan nyaman bahannya. kalo untuk dipake keluar sih kayaknya kureng ya, bahannya cukup tipis soalnya. perbanyak variasi wa...",5
255,Alvin,"Hanafe Crop Top Hana Fashion - Light Grey, M",barang bagus dan sesuai,5
256,Putri,"Hanafe Crop Top Hana Fashion - Light Grey, M",next size L soalny yg M kependekan,5
257,A***A,"Hanafe Crop Top Hana Fashion - Light Grey, M","Barang pesenan udah sampé dengan aman sesuai orderan.. Suka... 🌹🌹❤️ Ukurannya S & M, tapi tetep pas koq di badan..👍🏼👍🏼",5
258,E***i,"Hanafe Crop Top Hana Fashion - Light Grey, M",Kereeen,5
259,V***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","pas banget, unfinished tp tetep keliatan bagus. bb 45kg tb 157cm tp mending ikutin LD deh, gabisa patokan sama bbtb soalnya. sayang tipis bgt huhu, semoga awet",5
260,g***e,"Hanafe Crop Top Hana Fashion - Light Grey, M",bagus,4
261,D***n,"Hanafe Crop Top Hana Fashion - Light Grey, M","bagus,puas, udh pny 4 warna...
kalo ada warna lainnya lg, mau deh

eh tp waktu beli 19000 skrg harganya 29000 hehe",5
262,Anny,"Hanafe Crop Top Hana Fashion - Light Grey, M","okee baju nya cantik lilac pass di badan,, klo yg tdk mau terlalu crop bisa pke xxl 
bb 53 tb 158",5
263,Lin,"Hanafe Crop Top Hana Fashion - Light Grey, M",Bagus tapi kegedean aku salah pilih size harusnya L,5
264,Ellen,"Hanafe Crop Top Hana Fashion - Light Grey, M",Respon penjual ok ok,4
265,Junida,"Hanafe Crop Top Hana Fashion - Light Grey, M","ga sesuai dengan deskripsi, bahan nya tipis",3
266,azam,"Hanafe Crop Top Hana Fashion - Light Grey, M","sudah order yg ke 2 kalinya,kaosnya enak pakai dan bahan bagus,ukuran sesuai ,kurirnya juga ramah,makasih ya seller semoga amanah dan lancar selalu...👍🤲",5
267,Eveline,"Hanafe Crop Top Hana Fashion - Light Grey, M",adem bahannya.,5
268,a***m,"Hanafe Crop Top Hana Fashion - Light Grey, M","kaos bahan ok,barang real pict dan ukuran sesuai warnanya cantik...🙏",5
269,D***n,"Hanafe Crop Top Hana Fashion - Light Grey, M","baguss...jd mau beli lagi
ga nyangka bgtt harga segitu tp bahannya enak bgt buat dirumah/olahraga",5
270,Y***i,"Hanafe Crop Top Hana Fashion - Light Grey, M",barang sesuai pic,5
271,D***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",Ukuran L nya lebih kecil.,4
272,A***f,"Hanafe Crop Top Hana Fashion - Light Grey, M","bahan nya bagus banget lembut harga terjangkau,respon cepat dan pelayanan tokonya sangat bagus, makasih gan",5
273,N***h,"Hanafe Crop Top Hana Fashion - Light Grey, M",bagus banget bahan dan jahitannya rapih.thanks,5
274,s***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",Ukuran nya kaya pake ukuran M wkwk.tapi bagus sukaaaa😍😍,5
275,Nurhadi,"Hanafe Crop Top Hana Fashion - Light Grey, M","Pengiriman cepat, barang oke, recomended seller",5
276,B***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","admin seller responsif & barang sampai dgn aman. crop T nya sesuai sama ukuran di deskripsi, kualitas bahannya juga cukup oke kok.",5
277,F***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",pesan hitam datangnya putih.,4
279,Tambunan,"Hanafe Crop Top Hana Fashion - Light Grey, M",Bagus dan sesuai harapanku,5
280,Samha,"Hanafe Crop Top Hana Fashion - Light Grey, M",bajunya suka bangett murah lagi,5
281,Keiko,"Hanafe Crop Top Hana Fashion - Light Grey, M","baguss,pas",5
283,A***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","product sesuai , kualitas lumayan ,
bgn bwhnya agak keriting2 sih , tp msh nyaman di
pake , tks 😊🙏",5
284,U***i,"Hanafe Crop Top Hana Fashion - Light Grey, M","maaci.
not bad",4
285,N***i,"Hanafe Crop Top Hana Fashion - Light Grey, M",sagat murah untuk harga segini. bahan nya adem enak buat olahraga.,5
286,A***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",lumayan bahanya tipis tapi adem kalau yg warna item gapapa ga transparan kalo yg warna lain sih gatau ukuran L di sy agak kebesaran BB 49 TB 155+- bagus dengan harga segi...,4
287,N***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",bahannya agak tipis but it’s okay bisa dipakai dirumah,5
288,M***n,"Hanafe Crop Top Hana Fashion - Light Grey, M",Trendy style & keren,5
289,a***u,"Hanafe Crop Top Hana Fashion - Light Grey, M","pengiriman cepat, respon penjual sangat baik",5
290,mngjay,"Hanafe Crop Top Hana Fashion - Light Grey, M","bahan nya bagus banget😻 ,cuman yng pkek orang nya agak tinggi jadi pas dia angkt tangan bajunya ikut naik bnget ,jadi klo dia pkek bajunya jadi pndek bnget iya tau ini k...",5
291,A***n,"Hanafe Crop Top Hana Fashion - Light Grey, M","beli crop top di sini buat hadiah pacar saya dan pacar saya suka banget
Terima Kasih",5
292,Y***i,"Hanafe Crop Top Hana Fashion - Light Grey, M","mantul, thanks ga",5
293,a***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","Bagus kaosnya, bahannya lembut",5
294,herwandi,"Hanafe Crop Top Hana Fashion - Light Grey, M",bahan adem dan elastis nyaman banget untuk dipake santai.,5
295,Meygi,"Hanafe Crop Top Hana Fashion - Light Grey, M","bagus kok,jahitannya rapih juga",5
296,Indra,"Hanafe Crop Top Hana Fashion - Light Grey, M","udah dikasih catatan kirim hitam sama ungu, dikirim ungu dua-duanya🤦",5
297,Gracia,"Hanafe Crop Top Hana Fashion - Light Grey, M","bahan nya tipis adem, trs enak dipake sama hw jeanss",5
298,A***o,"Hanafe Crop Top Hana Fashion - Light Grey, M","bagus, lembut, adem.",5
299,Gracia,"Hanafe Crop Top Hana Fashion - Light Grey, M","untuk ke 3x nya gue beli baju di toko ini dan emang bnr"" kualitas nya okey banget & ga pernah mengecewakan pkok nya top banget ini toko nya",5
300,N***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",lucuuu bangett nyampe. nya cepet juga dan size sesuai dikirimmnya,5
301,Rizki,"Hanafe Crop Top Hana Fashion - Light Grey, M",.,4
303,R***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","pdhl bajunya bagus tp jahitan bagian samping ada yg lepas, jd kayak bolong. tolong kualitas jahitannya diperbaiki",2
304,Anastasia,"Hanafe Crop Top Hana Fashion - Light Grey, M",bagus .. bahan kausnya halus dan melar mengikuti badan.. sesuai 👍,5
305,Eveline,"Hanafe Crop Top Hana Fashion - Light Grey, M",bahan adem. bagus jatuh di badan,5
306,qalbi,"Hanafe Crop Top Hana Fashion - Light Grey, M",keren,5
307,m,"Hanafe Crop Top Hana Fashion - Light Grey, M","barang sesuai, pengiriman sangat lambat",4
308,H***h,"Hanafe Crop Top Hana Fashion - Light Grey, M","bahan enak, pengiriman cepat, will reorder.",5
309,cintara,"Hanafe Crop Top Hana Fashion - Light Grey, M",lucuu xixi bb ku 48 kirain bakal kekecilan😣 Ternyata pass🥰,5
310,Bambang,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Ukurannya pas..nyaman dipakai, jahitan rapi.. bahannya bagus..sip 👍",5
311,M***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","sesuai deskripsi, bahan nya lembut jd enak dipake nya, warna nya cantik banget, kakak seller ramah 
& baik komunikasi, recomended",5
312,M***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Seller fast response. Ukuran pas sesuai deskripsi.,5
313,septiani,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",sesuai dan selalu bagus,5
314,A***s,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",👍,5
315,Hari,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",pesanan sdh di terima..mksh,5
316,Yuni,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Sdh pembelian yg ke berapa kali nya
Bahannya enak
Size sesuai
Hanya tolong restock utk warna2 yg habis donk dan banyakin stock nya. Thank you",5
317,B***g,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Keren ..enak dipakainya..sip 👍 ini pembelian ke 2,5
318,Lilys,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",lumayan,4
319,Yuni,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Barang sdh diterima dengan aman dan sesuai.
Thank yoi",5
320,C***o,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",👍👍👍,5
321,A***r,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bahannya bagus hanya prosesnya perlu di percepat.,5
322,B***g,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Istri jadi senang,5
324,Jenny,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",mantap. mau order lagi,5
326,T***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Bagus,suka banget sm celananya",5
328,R***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas bahan bagus 👍. Nyaman dipakai ✨. Warnanya cantik 💚. Model Celananya cantik 😍. Bahan menyerap keringat.,5
329,F***r,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bahan adem enak cocok dipakai,5
330,Jeanie,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Sesuai ekspektasi,5
331,Rudhi,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",pesanan sdh diterima..pengemasan cepat..uk sesuai wrn bgs..pengiriman cpt..makasih,5
333,Vera,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","wah haha ternyata kegedean .. karetnya ngga terlalu ketat, agak longgar mmg.. Tapi buat dirumah okelah gpp",5
334,D***y,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",👍🏻,5
335,f***l,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bahan bagus,5
336,A***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Packing rapih, joss",5
338,Shinta,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","beli 2 , tadinya pilih dark mustard S, tanyakan sblmnya ada tp stlh diorder diinfo ga ada (etalase ga berubah..tetep ada stok.. duh) diminta ganti dusty pink....ya akhirn...",4
340,Rita,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","barang oke, sayang proses pengiriman dari penjual agak lama lama.",5
342,H***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Talinya fake ya, ngga bisa dipake untuk mengencangkan celana, itu tali tempelan aja. Kualitas yang didapatkan sesuai dengan harganya.",4
343,Rockefeller,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Ternyata kl pesan beda warna trus dtulis di note tdk akan direspon.. yg dkirim 1 warna saja. Dan itu tdk dtulis di deskripsi.. Bahan dan finishing lumayan bagus. Hanya ke...,4
344,Derry,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",mantappppp,5
345,Derry,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",mantapppp,5
346,M***d,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","sangat bagus model ini
akan order lagi",5
347,Rudhi,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","pesanan sdh diterima. .pengemasan cepat..bhn agk tipis tp ga nerawang..sz ckp..jahitan lmyn rapi..pengiriman cpt
..makasih",5
348,W***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","cakep modelnya, jahitan nya rapi, lumayan buat harga segini, ukurannya agak besar untuk BB 62kg, mungkin lebih pas kalau L tapi ngga apa-apa, karet pinggangnya aman,",5
349,Yermia,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Bagus sangat pasKualitas bahan bagus 👍. Nyaman dipakai ✨.,5
351,Aldhila,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",belanja ke 2x dan tdk pernah mengecewakan..Kualitas bahan bagus 👍. Nyaman dipakai ✨. Ukuran sesuai. Bahannya lembut. Bahannya adem. Tidak menerawang. Jahitannya rapi. Wa...,5
352,valentine,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Ukuran sesuai. Jahitannya rapi. Nyaman dipakai ✨. Warnanya cantik 💚.,5
353,Silvy,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Kualitas bahan bagus 👍. Nyaman dipakai ✨. Model Celananya cantik 😍. Jahitannya rapi. Ukuran sesuai. Warnanya cantik 💚. Bahannya adem. Bahannya lembut,bahannya ga tebel...",5
354,nani,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Nyaman dipakai ✨. Ukuran sesuai. Jahitannya rapi.,5
355,dias,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Ukuran sesuai. Bahannya adem. Bahannya lembut. Nyaman dipakai ✨.,5
356,Sari,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bagus seperti di gambar tapi ukurannya aga kebesaran.. terima kasih,5
357,e***t,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Jahitannya rapi. Kualitas bahan bagus 👍. Model Celananya cantik 😍. Nyaman dipakai ✨.,5
358,Farida,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas bahan bagus 👍.,5
359,K***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Bagus pengiriman cepat Bahannya adem Enak dipakai ✨ Modelnya kekinian 😍 Bahan menyerap keringat Jahitannya rapi Warnanya cantik 💚,5
360,anita,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas bahan bagus 👍,5
361,Santy,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas bahan bagus 👍. Nyaman dipakai ✨. Model Celananya cantik 😍. Jahitannya rapi. Ukuran sesuai. Bahannya adem.,5
362,Sheila,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas bahan bagus 👍. Ukuran sesuai. Warnanya cantik 💚. Jahitannya rapi. Nyaman dipakai ✨. Tidak menerawang.,5
363,N***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","biasa aja, malahan ada barang saya di batalin, pengiriman sangat amat lemot kalo ngga di kasih tau pakai sameday mungkin ga bakal di kirim""",3
364,T***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","kurangajar penjualnya, chatroom dibalas dibilangnya gak respon👎👎👎",1
365,Jennifer,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Warnanya engga sesuai foto tapi bahan nya adem,5
366,oktavian,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","iyaa okehlahh Karna engga Tau cuma gede bgt Salah beli tp product nya bagus,bahan kasar halus..mulusKualitas bahan bagus 👍. Warnanya cantik 💚. Bahannya adem. Bahan meny...",5
367,h***y,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas bahan bagus 👍 Nyaman dipakai ✨ Ukuran sesuai Jahitannya rapi,5
368,Jennifer,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Warnanya cantik 💚,5
369,Caroline,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",pengiriman nya super lamaaaaa,2
370,F***l,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Nyaman dipakai ✨ Ukuran sesuai,5
371,F***l,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Model Celananya cantik 😍,5
372,Inggrid,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Kualitas bahan bagus. Jahitannya rapi. Ukuran sesuai. Warna celananya bagus. Bahannya lembut dan adem. Paling penting, nyaman dipake. 
Andai warna lainnya masih tersedia...",5
373,C***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas dan harga sesuai 👍🏽,5
374,satria,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","bagus, 
terimakasih",5
375,puri,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","celana cukup.. 
nyaman di pakai. 
bahan ny jg oke.. 
seller ny ramah.... 
Terima kasih",5
376,i***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","sesuai sama gambarnya, respon seller juga cepat...siipp...",5
377,Rey,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","barang sesuai pesanan
jahitannya rapi",5
378,Bambang,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",order tgl 21 sampai tgl 24 nov....moga kedepannya lebih baik ya..,4
379,Sukarto,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","𝓑𝓪𝓻𝓪𝓷𝓰 𝓼𝓮𝓼𝓾𝓪𝓲 𝓭𝓮𝓷𝓰𝓪𝓷 𝓭𝓮𝓼𝓴𝓻𝓲𝓹𝓼𝓲 𝓭𝓪𝓷 𝓭𝓲 𝓫𝓾𝓷𝓰𝓴𝓾𝓼 𝓻𝓪𝓹𝓲, 𝓻𝓮𝓼𝓹𝓸𝓷 𝓼𝓪𝓷𝓰𝓪𝓽 𝓬𝓮𝓹𝓪𝓽, 𝓹𝓮𝓻𝓽𝓪𝓱𝓪𝓷𝓴𝓪𝓷 𝓽𝓮𝓻𝓾𝓼 𝓹�...",5
380,Y***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Beli celana pendek dikirim kaos pendek..huuft, untung kaosnya cakep walaupun lbh murah dikit.",4
381,M***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Jahitan rapi, celana longgar jd nyaman untuk bergerak.",5
382,H***n,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Barang yang dikirim sesuai dengan pesanan.,5
383,BeningLara,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","bahan ga bagus,",3
385,J***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bagus celana nya. thank u,5
386,V***y,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Cocok ukurannya. Bahan licin. Jahitan rapi,5
387,E***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Sesuai gambar,5
388,A***s,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","kainnya tipis dan kasar, warna kurang cerah",4
389,o***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",lumayan untuk harga segini....anak suka,5
390,Siska,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","sesuai dg harga , bahan agak tipis, model lumayan.thx",3
391,s***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","cepat dikirim, barang sesuai harga la..",5
392,Anita,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Good...,5
393,NOVRIETA,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bagus celananya. siip👍👍👍,5
394,d***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",lumayan aja,5
395,Desi,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Barang ok bahan standard,4
396,J***n,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Bagus dan pengiriman yg sangat cepat,5
397,Erizal,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Bahan biasa saja,1
398,A***r,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","bahannya bagus , cm prosesnya agak lama",5
